"Entity","Frequency"
"Xinhua News Agency","1"
"New","2"
"A4","1"
"Mojtaba","1"
"River Senne","1"
"Qwerty","1"
"Windows","2"
"Tsunami Earthquake Appeal","1"
"Africa","1"
"England","1"
"Casio","1"
"Robotic","1"
"Mac Mini","1"
"RipGuard","7"
"Text","2"
"Ink","1"
"Interactive Entertainment","1"
"Magnus","1"
"Nick Donofrio","1"
"Nicholas Negroponte","1"
"Digital","2"
"Chinese","1"
"Laws","1"
"DEC","5"
"Digital Solidarity Fund","1"
"Hazel Blears","1"
"PayPal","1"
"UMD","1"
"Honor","3"
"EFF","5"
"Brightmail","1"
"Early HSDPA","1"
"Vodafone","1"
"Gadgets","1"
"Global Mobile","1"
"Andrew Bud","1"
"Upload","1"
"Council of Ministers","1"
"Windows Word","1"
"Flynn","1"
"CENTR","1"
"Super","1"
"Intel","6"
"Danton","1"
"Movie","2"
"Television","1"
"Dixons","1"
"Superior","1"
"Rich","1"
"Rights","1"
"Chip","1"
"Kyrgyz","2"
"Supreme","1"
"Paniccia","3"
"Xboxes","1"
"Kodak Brownie","1"
"Alexander Fang","1"
"Stuff Magazine","1"
"Pentax Optio","1"
"Euro","1"
"Negroponte","1"
"Data","1"
"Portable","1"
"Internet Corporation","1"
"Workplace","2"
"Travels","1"
"Dead","1"
"Christmas","2"
"Doug Rasor","1"
"HSDPA","8"
"Blind","1"
"London","4"
"NOP","1"
"Pez","1"
"Brighton","1"
"Casual","1"
"Consumer Electronics Show","1"
"Yahoo","20"
"Autumn","1"
"Justice","2"
"Aaron Foster","1"
"Robots","1"
"Cambodia","1"
"Media","1"
"France","6"
"African","1"
"South America","1"
"Local","1"
"Oded Cohen","1"
"Toxic","1"
"Microsoft","4"
"Turkey","1"
"Motion Picture Association","1"
"San Francisco","2"
"Borders","2"
"Technorati","1"
"Madonna","1"
"IE7","1"
"Network Computing","1"
"CBBC Newsround","1"
"IE","2"
"BBC Sport","1"
"Future","3"
"Workshare","1"
"Rip Guard","1"
"Dublin","2"
"Braille","1"
"Lycos Europe","5"
"Russian","2"
"Asian","1"
"Beckham","1"
"Honour","1"
"Operation Digital Gridlock","1"
"miniMIXA","1"
"Sequoia Capital","1"
"PC Pro","1"
"Iraqi","1"
"Manuel Barroso","1"
"Arash","1"
"Hotspot","1"
"Football","1"
"Ukraine","1"
"Lima","1"
"PCs","1"
"David Filo","1"
"Distribution","1"
"AOL","1"
"MessageLabs","5"
"AutoLinks","1"
"United Nation","1"
"iMP","1"
"Asteroid","1"
"Adam Vaughan","1"
"Spamhaus","6"
"Coudenberg Cellars","1"
"Warner Bros","1"
"Britain","1"
"Grant Dean","1"
"Pop Idol","1"
"Quake","1"
"Total Abstract","1"
"Carfax","1"
"US Federal Bureau","1"
"Mojtaba Saminejad","1"
"Unicode","1"
"European Commission","1"
"Pete Buckingham","1"
"Huaral","1"
"BitTorrent","9"
"NHTCU","1"
"Japanese","2"
"Bioware","2"
"Sony PSP","1"
"Attack","1"
"ISPs","1"
"Stuff","1"
"Radio Farda","1"
"Saldarriaga","1"
"Santy","5"
"Sandvine","3"
"IFPI","1"
"Iranian","6"
"Neverwinter Nights","1"
"Solaris","1"
"Domain","2"
"Cisco Systems","1"
"Frank Stone","1"
"Newton","1"
"Far","1"
"Freedom","1"
"French Green","1"
"Between","1"
"Kbps","1"
"Scotland Yard","1"
"Cable","1"
"MSN","1"
"Home","1"
"Bell","1"
"National Infrastructure","1"
"Word","1"
"Information Act","1"
"Hewlett Packard","1"
"Half Life","1"
"Music","1"
"PDAs","1"
"MDA","2"
"Websidestory","1"
"Virgin Trains","1"
"WSIS","5"
"Google","5"
"Number One","1"
"MEPs","1"
"Maine","1"
"Electronic Entertainment Expo","1"
"Board","1"
"Sybari Software","1"
"Cuyo","2"
"Orange Expressionist","1"
"Jupiter Research","1"
"Coalition","1"
"Media Labs","1"
"America","1"
"Sinclair","2"
"Breville","1"
"Italian","1"
"Many","1"
"Jason O-Grady","1"
"Townsend","1"
"Berit Hanson","1"
"Fast","1"
"Security","1"
"Yang","1"
"Kyrgyz Republic","2"
"BBC Outside Broadcasts","1"
"Spam","1"
"US Department","1"
"Valve","1"
"Education","1"
"Longhorn","1"
"Bush","2"
"Swap","1"
"Phoenix Torrent","1"
"Tivo","1"
"Irrigation","1"
"Gritty","1"
"Latin","1"
"Institute","2"
"Remove Hidden Data","1"
"James Goodman","1"
"Remote","1"
"Iran","6"
"Xenon","2"
"BT","6"
"Bafta","3"
"Open","1"
"Speak","1"
"Likewise","1"
"World","3"
"Doctorow","1"
"Sixty","1"
"Agricultural Information System","1"
"Disaster Emergency Committee","1"
"Cranfield University","2"
"BridgeHead Software","2"
"Symantec","2"
"Andy Townsend","1"
"Afghanistan","1"
"MEF","1"
"Karl Elsener","1"
"Metal Slug","1"
"Hanson","1"
"eDonkey","1"
"European Legal Affairs Committee","1"
"World Bank","3"
"MP3","6"
"Windows Genuine","1"
"Italy","1"
"Slow","1"
"Poor","1"
"V603SH","1"
"Blogger","1"
"Grand Theft Auto","1"
"Kurt Opsahl","1"
"Americans","1"
"Bill","1"
"Jonathan Swift","1"
"Professor Tom Goldstein","1"
"Seamen","1"
"Ellen Simonetti","1"
"Computer Implemented Inventions","1"
"Wales","2"
"Research","1"
"EA Sports","1"
"Motjaba Saminejad","1"
"Pompeii","3"
"Content Scrambling System","1"
"Encarta","1"
"Mohammed Khatami","1"
"Alexander McQueen","1"
"David Mikosz","1"
"Speech","1"
"ISBN","3"
"Reuters","1"
"DOS","1"
"Drink Or Die","1"
"Fake","1"
"Xbox","1"
"Cebit","7"
"Sony","6"
"DVDs","1"
"Sky Plus","1"
"Schwartz","1"
"Sharp","1"
"Psion Organiser","1"
"Nokia","3"
"Humanoid","1"
"Force","1"
"Ingram","2"
"DIY","1"
"Sony Net Minidisc","1"
"Christian","1"
"Sony Ericsson","1"
"Skulls","7"
"Sinclair Spectrum","2"
"Asia","1"
"Ask","2"
"UK Film Council","2"
"Toshiba Libretto","1"
"Askar Akaev","1"
"Junk","1"
"Pulsar","1"
"University","1"
"Valley","2"
"Cornell University","1"
"Hungary","1"
"Journalism School","1"
"Sigarchi","6"
"Soviet Republics","1"
"South Africa","1"
"Jeremy Flynn","1"
"Sanders","2"
"Plusnet","1"
"Nintendo","9"
"Smart","1"
"Motorola Startac","1"
"Indonesia","1"
"SMS","1"
"Computeractive Magazine","1"
"Telewest","5"
"Global","1"
"Kevin Krewell","1"
"European Parliament","2"
"Knights of the Old Republic","1"
"German Embassy","1"
"Bill Thompson","2"
"India","2"
"Galaxy Adventure Game","1"
"Grassroots Media","1"
"Stephen Toulouse","1"
"Hugo Lueders","1"
"UKIF","2"
"AADC","3"
"Pew","2"
"Camera","2"
"Arash Sigarchi","1"
"Tony Macklin","1"
"Agriculture","1"
"Cabs","1"
"Online","3"
"Ultra","2"
"Arts Alliance Digital Cinema","1"
"PowerPage","1"
"IDNs","1"
"Nuclear","1"
"Yepp","1"
"Virgin Megastores","1"
"Silicon Valley","1"
"Wong","2"
"Windows Genuine Advantage","1"
"Internationalised Domain Name","1"
"Smart Tags","2"
"Diamound Multimedia","1"
"Software","1"
"NISCC","3"
"Latest","1"
"Texas Instruments","1"
"European Council","1"
